# R4-B --movement 真实 Unity DS 权威运动验收证据
# 权威来源：真实 Unity DS（PhysX 隔离物理场景）复制下来的 _movementSnapshotV1 与 owner 可靠事件
# 客户端 AP 碰撞世界：PMMoverTestWorld（AABB 替身，WorldVersion=1）——不是 PhysX
# 输入 dt=16ms；节拍=真实 Stopwatch 墙钟；DS 预算由 DS 自己的墙钟累计

## 客户端 A（本端 uid=301，对手 uid=302）
note: ap=ok sp=ok
note: resync 1→2 旧流帧=26 对照帧=56 边界=393→449
apTicksAccepted=393 apTicksRejected=0
apResyncApplied=1 apStreamVersion=2 apUnacked=0 apSnapshotApplied=392 spInterpAuthorityAccepted=3553
apDescribe: PMR4MovementDriver role=AutonomousProxy epoch=1 instance=1 stream=2 pending=393 confirmed=393 unacked=0 journalPending=0 journalSeq=0 journalFailed=False frozen=False
apCounters: snapshotQueued=3538 snapshotApplied=392 snapshotDecodeFailed=0 snapshotRejectedIdentity=0 snapshotRejectedStreamNewer=8 snapshotRejectedWorldVersion=0 snapshotQueueDrops=0 snapshotPublished=0 snapshotStreamRebinds=0 snapshotRebindRejectedRegressing=0 snapshotRebindRejectedFrozen=0 rebindFallbacks=0 inputPayloadsSent=393 inputEntriesSent=787 unackedRetired=393 ticks=393 ticksRejected=0 placeholders=0 eventPayloadsReceived=2 eventBatchesAccepted=2 eventBatchesRejected=0 eventDecodeFailed=0 journalFailed=False journalSeqGaps=0 journalDuplicateEvents=0 journalDispatched=3 journalLateDispatches=0 journalOverflows=0 resyncRequestsSent=0 resyncPayloadsReceived=1 resyncApplied=1 resyncRejectedRegressing=0 resyncRejectedOldStream=0 resyncInlineRejected=0 frozen=False threadViolations=0
# owner 可靠事件（kind 1=ModeChanged, 2=Landed）
event kind=1 value=1 key=2105
event kind=1 value=0 key=2497
event kind=2 value=0 key=2498
# AP 侧收到的真实 DS 权威快照轨迹（wallMs,outputFrame,serverFrame,stream,totalMs,x,y,z,mode,grounded,velX,velY,velZ）
1789904328236,0,0,1,0,-3,1,-0.75,Walking,True,0,0,0
1789904328265,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328265,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328265,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328266,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328266,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328266,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328266,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328266,1,7469,1,16,-2.99488,1,-0.75,Walking,True,0.32,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328283,2,8671,1,32,-2.98464,1,-0.75,Walking,True,0.64,0,0
1789904328297,3,10268,1,48,-2.96928,1,-0.75,Walking,True,0.96,0,0
1789904328297,3,10268,1,48,-2.96928,1,-0.75,Walking,True,0.96,0,0
1789904328297,3,10268,1,48,-2.96928,1,-0.75,Walking,True,0.96,0,0
1789904328297,3,10268,1,48,-2.96928,1,-0.75,Walking,True,0.96,0,0
1789904328297,3,10268,1,48,-2.96928,1,-0.75,Walking,True,0.96,0,0
1789904328297,3,10268,1,48,-2.96928,1,-0.75,Walking,True,0.96,0,0
